2022-11-04 20:17:15,561 |  IcnHost |    INFO | Record refprice at 15:50:00 (MS,0,0.00)
2022-11-04 20:17:15,561 |  IcnHost |    INFO | Record refprice at 15:55:00 (FDX,0,0.00)
2022-11-04 20:17:15,561 |  IcnHost |    INFO | Record refprice at 15:58:00 (EOG,0,0.00)
2022-11-04 20:17:15,561 |  IcnHost |    INFO | Record refprice at 15:50:00 (UBER,0,0.00)
2022-11-04 20:17:15,561 |  IcnHost |    INFO | Record refprice at 15:55:00 (EOG,0,0.00)
2022-11-04 20:17:15,561 |  IcnHost |    INFO | Record refprice at 15:58:00 (MS,0,0.00)
2022-11-04 20:17:15,561 |  IcnHost |    INFO | Record refprice at 15:50:00 (VICI,0,0.00)
2022-11-04 20:17:15,561 |  IcnHost |    INFO | Record refprice at 15:55:00 (MS,0,0.00)
2022-11-04 20:17:15,562 |  IcnHost |    INFO | Record refprice at 15:58:00 (UBER,0,0.00)
2022-11-04 20:17:15,562 |  IcnHost |    INFO | Record refprice at 15:50:00 (MRO,0,0.00)
2022-11-04 20:17:15,562 |  IcnHost |    INFO | Record refprice at 15:55:00 (UBER,0,0.00)
2022-11-04 20:17:15,562 |  IcnHost |    INFO | Record refprice at 15:58:00 (VICI,0,0.00)
2022-11-04 20:17:15,562 |  IcnHost |    INFO | Record refprice at 15:50:00 (NOW,0,0.00)
2022-11-04 20:17:15,562 |  IcnHost |    INFO | Record refprice at 15:55:00 (VICI,0,0.00)
2022-11-04 20:17:15,562 |  IcnHost |    INFO | Record refprice at 15:58:00 (MRO,0,0.00)
2022-11-04 20:17:15,562 |  IcnHost |    INFO | Record refprice at 15:50:00 (ABT,0,0.00)
2022-11-04 20:17:15,562 |  IcnHost |    INFO | Record refprice at 15:55:00 (MRO,0,0.00)
2022-11-04 20:17:15,562 |  IcnHost |    INFO | Record refprice at 15:58:00 (NOW,0,0.00)
2022-11-04 20:17:15,562 |  IcnHost |    INFO | Record refprice at 15:50:00 (UPS,0,0.00)
2022-11-04 20:17:15,562 |  IcnHost |    INFO | Record refprice at 15:55:00 (NOW,0,0.00)
2022-11-04 20:17:15,562 |  IcnHost |    INFO | Record refprice at 15:58:00 (ABT,0,0.00)
2022-11-04 20:17:15,562 |  IcnHost |    INFO | Record refprice at 15:50:00 (DHR,0,0.00)
2022-11-04 20:17:15,562 |  IcnHost |    INFO | Record refprice at 15:55:00 (ABT,0,0.00)
2022-11-04 20:17:15,562 |  IcnHost |    INFO | Record refprice at 15:58:00 (UPS,0,0.00)
2022-11-04 20:17:15,562 |  IcnHost |    INFO | Record refprice at 15:50:00 (UNP,0,0.00)
2022-11-04 20:17:15,562 |  IcnHost |    INFO | Record refprice at 15:55:00 (UPS,0,0.00)
2022-11-04 20:17:15,562 |  IcnHost |    INFO | Record refprice at 15:58:00 (DHR,0,0.00)
2022-11-04 20:17:15,563 |  IcnHost |    INFO | Record refprice at 15:50:00 (LMT,0,0.00)
2022-11-04 20:17:15,563 |  IcnHost |    INFO | Record refprice at 15:55:00 (DHR,0,0.00)
2022-11-04 20:17:15,563 |  IcnHost |    INFO | Record refprice at 15:58:00 (UNP,0,0.00)
2022-11-04 20:17:15,563 |  IcnHost |    INFO | Record refprice at 15:50:00 (TMO,0,0.00)
2022-11-04 20:17:15,563 |  IcnHost |    INFO | Record refprice at 15:55:00 (UNP,0,0.00)
2022-11-04 20:17:15,563 |  IcnHost |    INFO | Record refprice at 15:58:00 (LMT,0,0.00)
2022-11-04 20:17:15,563 |  IcnHost |    INFO | Record refprice at 15:50:00 (DE,0,0.00)
2022-11-04 20:17:15,563 |  IcnHost |    INFO | Record refprice at 15:55:00 (LMT,0,0.00)
2022-11-04 20:17:15,563 |  IcnHost |    INFO | Record refprice at 15:58:00 (TMO,0,0.00)
2022-11-04 20:17:15,563 |  IcnHost |    INFO | Record refprice at 15:50:00 (AXP,0,0.00)
2022-11-04 20:17:15,563 |  IcnHost |    INFO | Record refprice at 15:55:00 (TMO,0,0.00)
2022-11-04 20:17:15,563 |  IcnHost |    INFO | Record refprice at 15:58:00 (DE,0,0.00)
2022-11-04 20:17:15,563 |  IcnHost |    INFO | Record refprice at 15:50:00 (PM,0,0.00)
2022-11-04 20:17:15,563 |  IcnHost |    INFO | Record refprice at 15:55:00 (DE,0,0.00)
2022-11-04 20:17:15,563 |  IcnHost |    INFO | Record refprice at 15:58:00 (AXP,0,0.00)
2022-11-04 20:17:15,563 |  IcnHost |    INFO | Record refprice at 15:50:00 (AMT,0,0.00)
2022-11-04 20:17:15,563 |  IcnHost |    INFO | Record refprice at 15:55:00 (AXP,0,0.00)
2022-11-04 20:17:15,563 |  IcnHost |    INFO | Record refprice at 15:58:00 (PM,0,0.00)
2022-11-04 20:17:15,564 |  IcnHost |    INFO | Record refprice at 15:50:00 (PSX,0,0.00)
2022-11-04 20:17:15,564 |  IcnHost |    INFO | Record refprice at 15:55:00 (PM,0,0.00)
2022-11-04 20:17:15,564 |  IcnHost |    INFO | Record refprice at 15:58:00 (AMT,0,0.00)
2022-11-04 20:17:15,564 |  IcnHost |    INFO | Record refprice at 15:50:00 (PLD,0,0.00)
2022-11-04 20:17:15,564 |  IcnHost |    INFO | Record refprice at 15:55:00 (AMT,0,0.00)
2022-11-04 20:17:15,564 |  IcnHost |    INFO | Record refprice at 15:58:00 (PSX,0,0.00)
2022-11-04 20:17:15,564 |  IcnHost |    INFO | Record refprice at 15:50:00 (ANTM,0,0.00)
2022-11-04 20:17:15,564 |  IcnHost |    INFO | Record refprice at 15:55:00 (PSX,0,0.00)
2022-11-04 20:17:15,564 |  IcnHost |    INFO | Record refprice at 15:58:00 (PLD,0,0.00)
2022-11-04 20:17:15,564 |  IcnHost |    INFO | Record refprice at 15:50:00 (CTRA,0,0.00)
2022-11-04 20:17:15,564 |  IcnHost |    INFO | Record refprice at 15:55:00 (PLD,0,0.00)
2022-11-04 20:17:15,564 |  IcnHost |    INFO | Record refprice at 15:58:00 (ANTM,0,0.00)
2022-11-04 20:17:15,564 |  IcnHost |    INFO | Record refprice at 15:50:00 (SCHW,0,0.00)
2022-11-04 20:17:15,564 |  IcnHost |    INFO | Record refprice at 15:55:00 (ANTM,0,0.00)
2022-11-04 20:17:15,564 |  IcnHost |    INFO | Record refprice at 15:58:00 (CTRA,0,0.00)
2022-11-04 20:17:15,564 |  IcnHost |    INFO | Record refprice at 15:50:00 (F,0,0.00)
2022-11-04 20:17:15,564 |  IcnHost |    INFO | Record refprice at 15:55:00 (CTRA,0,0.00)
2022-11-04 20:17:15,564 |  IcnHost |    INFO | Record refprice at 15:58:00 (SCHW,0,0.00)
2022-11-04 20:17:15,565 |  IcnHost |    INFO | Record refprice at 15:50:00 (VALE,0,0.00)
2022-11-04 20:17:15,565 |  IcnHost |    INFO | Record refprice at 15:55:00 (SCHW,0,0.00)
2022-11-04 20:17:15,565 |  IcnHost |    INFO | Record refprice at 15:58:00 (F,0,0.00)
2022-11-04 20:17:15,565 |  IcnHost |    INFO | Record refprice at 15:50:00 (CI,0,0.00)
